"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro"
"1035",34041,"NJ","Warren",304.53,41350,108692,38132,"Metro"
"1036",36001,"NY","Albany",581.87,126008,304204,36454,"Metro"
"1037",36003,"NY","Allegany",47.55,18009,48946,23030,"Nonmetro"
"1038",36007,"NY","Broome",284.23,78594,200600,27744,"Metro"
"1039",36009,"NY","Cattaraugus",61.39,31433,80317,24628,"Nonmetro"
"1040",36011,"NY","Cayuga",115.71,31251,80026,29022,"Nonmetro"
"1041",36013,"NY","Chautauqua",127.24,52572,134905,24825,"Nonmetro"
"1042",36015,"NY","Chemung",218.07,34373,88830,28115,"Metro"
"1043",36017,"NY","Chenango",56.49,20616,50477,26717,"Nonmetro"
"1044",36019,"NY","Clinton",79.13,31395,82128,26772,"Nonmetro"
"1045",36021,"NY","Columbia",99.41,25243,63096,35581,"Nonmetro"
"1046",36023,"NY","Cortland",98.92,17685,49336,26979,"Nonmetro"
"1047",36025,"NY","Delaware",33.26,19030,47980,26629,"Nonmetro"
"1048",36027,"NY","Dutchess",373.9,107347,297488,38048,"Metro"
"1049",36029,"NY","Erie",881.41,387847,919040,32347,"Metro"
"1050",36031,"NY","Essex",21.94,15425,39370,30273,"Nonmetro"
"1051",36033,"NY","Franklin",31.67,19088,51599,25491,"Nonmetro"
"1052",36035,"NY","Fulton",112.08,22439,55531,26875,"Nonmetro"
"1053",36037,"NY","Genesee",121.88,23681,60079,29465,"Nonmetro"
"1054",36039,"NY","Greene",76.06,17117,49221,27271,"Nonmetro"
"1055",36041,"NY","Hamilton",2.82,1124,4836,25918,"Nonmetro"
"1056",36043,"NY","Herkimer",45.71,24583,64519,26151,"Metro"
"1057",36045,"NY","Jefferson",91.62,43267,116229,25884,"Metro"
"1058",36049,"NY","Lewis",21.25,10242,27087,26169,"Nonmetro"
"1059",36051,"NY","Livingston",103.51,24383,65393,27073,"Metro"
"1060",36053,"NY","Madison",112.15,26026,73442,28925,"Metro"
"1061",36055,"NY","Monroe",1132.59,300796,744344,32502,"Metro"
"1062",36057,"NY","Montgomery",124.6,19665,50219,25427,"Nonmetro"
"1063",36059,"NY","Nassau",4704.8,445517,1339532,49211,"Metro"
"1064",36063,"NY","Niagara",414.41,88211,216469,29824,"Metro"
"1065",36065,"NY","Oneida",193.73,90014,234878,28548,"Metro"
"1066",36067,"NY","Onondaga",599.99,185624,467026,32678,"Metro"
"1067",36069,"NY","Ontario",167.58,44286,107931,35121,"Metro"
"1068",36071,"NY","Orange",459.31,126776,372813,33472,"Metro"
"1069",36073,"NY","Orleans",109.6,16333,42883,25261,"Metro"
"1070",36075,"NY","Oswego",128.31,46032,122109,27217,"Metro"
"1071",36077,"NY","Otsego",62.15,23556,62259,27680,"Nonmetro"
"1072",36079,"NY","Putnam",432.94,34847,99710,45905,"Metro"
"1073",36083,"NY","Rensselaer",244.36,64563,159429,34280,"Metro"
"1074",36087,"NY","Rockland",1795.95,100005,311687,38076,"Metro"
"1075",36089,"NY","St. Lawrence",41.76,41669,111944,24473,"Nonmetro"
"1076",36091,"NY","Saratoga",271.13,93876,219607,41709,"Metro"
"1077",36093,"NY","Schenectady",756.55,53295,154727,31412,"Metro"
"1078",36095,"NY","Schoharie",52.67,12559,32749,28712,"Metro"
"1079",36097,"NY","Schuyler",55.87,7304,18343,26484,"Nonmetro"
"1080",36099,"NY","Seneca",108.9,13522,35251,27366,"Nonmetro"
"1081",36101,"NY","Steuben",71.19,40183,98990,28600,"Nonmetro"
"1082",36103,"NY","Suffolk",1637.35,487981,1493350,42204,"Metro"
"1083",36105,"NY","Sullivan",80.1,27890,77547,29292,"Nonmetro"
"1084",36107,"NY","Tioga",98.58,20045,51125,31330,"Metro"
"1085",36109,"NY","Tompkins",213.98,39326,101564,31464,"Metro"
"1086",36111,"NY","Ulster",162.33,69539,182493,33879,"Metro"
"1087",36113,"NY","Warren",75.79,27553,65707,33605,"Metro"
