"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro","Date","Cases","Deaths","DateAsInteger","Impact"
"155",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-11,57,0,18363,"Low"
"156",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-01,11,0,18353,"Low"
"157",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-05,24,0,18357,"Low"
"158",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-14,62,0,18366,"Low"
"159",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-16,63,1,18368,"Low"
"160",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-06,38,0,18358,"Low"
"161",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-15,62,0,18367,"Low"
"162",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-13,61,0,18365,"Low"
"163",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-02,12,0,18354,"Low"
"164",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-23,88,3,18375,"Low"
"165",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-07,48,0,18359,"Low"
"166",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-21,83,3,18373,"Low"
"167",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-10,54,0,18362,"Low"
"168",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-09,54,0,18361,"Low"
"169",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-03,20,0,18355,"Low"
"170",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-18,66,2,18370,"Low"
"171",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-12,60,0,18364,"Low"
"172",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-24,89,3,18376,"Low"
"173",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-04,21,0,18356,"Low"
"174",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-08,52,0,18360,"Low"
"175",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-22,85,3,18374,"Low"
"176",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-20,80,3,18372,"Low"
"177",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-19,72,2,18371,"Low"
"178",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-22,270,16,18374,"Low"
"179",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-24,282,17,18376,"Low"
"180",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-23,275,16,18375,"Low"
"181",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-28,17,0,18349,"Low"
"182",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-25,10,0,18346,"Low"
"183",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-06,96,7,18358,"Low"
"184",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-03,81,5,18355,"Low"
"185",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-05,90,6,18357,"Low"
"186",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-07,102,8,18359,"Low"
"187",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-16,234,11,18368,"Low"
"188",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-30,36,4,18351,"Low"
"189",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-31,36,4,18352,"Low"
"190",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-09,161,8,18361,"Low"
"191",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-24,5,0,18345,"Low"
"192",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-01,45,4,18353,"Low"
"193",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-10,171,8,18362,"Low"
"194",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-02,67,4,18354,"Low"
"195",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-13,212,8,18365,"Low"
"196",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-04,87,6,18356,"Low"
"197",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-19,246,14,18371,"Low"
"198",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-21,259,16,18373,"Low"
"199",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-15,227,10,18367,"Low"
"200",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-29,27,1,18350,"Low"
"201",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-08,140,8,18360,"Low"
"202",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-27,15,0,18348,"Low"
"203",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-03-26,13,0,18347,"Low"
"204",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-11,184,8,18363,"Low"
"205",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-12,200,8,18364,"Low"
"206",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-14,216,10,18366,"Low"
"207",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-18,240,11,18370,"Low"
"208",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-17,236,11,18369,"Low"
"209",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro",2020-04-20,257,13,18372,"Low"
"210",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-04,6,0,18356,"Low"
"211",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-16,11,0,18368,"Low"
"212",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-18,12,0,18370,"Low"
"213",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-21,13,0,18373,"Low"
"214",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro",2020-04-03,5,0,18355,"Low"
